,VEHICLE_SIZE,VEHICLE_BUILD_UP,FIRST_COLLECTION_POST_CODE,LAST_DELIVERY_POST_CODE,FIRST_COLLECTION_LATITUDE,FIRST_COLLECTION_LONGITUDE,LAST_DELIVERY_LATITUDE,LAST_DELIVERY_LONGITUDE,FIRST_COLLECTION_SCHEDULE_LATEST_lcl,LAST_DELIVERY_SCHEDULE_LATEST_lcl,Model_Target,CARRIER_SIZE,CARRIER_EFFICIENCY,distance,region_delivery,region_collection,parish_delivery,parish_collection
51,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 1BZ,BT26 6JJ,52.803864,-1.641981,54.474078,-6.104285,2023-11-08 13:30:00+00:00,2023-11-10 08:00:00+00:00,1,VERY SMALL,BAD,347.90466574883243,,,,
52,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,CF11 8AQ,52.800481,-1.663328,51.466832,-3.200826,2023-11-09 14:30:00+00:00,2023-11-10 08:00:00+00:00,1,SMALL,BAD,181.71733240867704,,West Midlands,Grangetown,Shobnall
53,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,CF11 8AQ,52.800481,-1.663328,51.466832,-3.200826,2023-11-09 14:30:00+00:00,2023-11-10 10:00:00+00:00,1,SMALL,BAD,181.71733240867704,,West Midlands,Grangetown,Shobnall
54,Tractor Unit,Curtain-Side 13.6M Trailer,LS24 9SD,BT26 6JJ,53.886427,-1.271051,54.474078,-6.104285,2023-11-09 14:30:00+00:00,2023-11-13 08:00:00+00:00,0,VERY SMALL,BAD,321.27233850978223,,,,
55,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,NP16 6UD,52.800481,-1.663328,51.614678,-2.674519,2023-11-10 07:00:00+00:00,2023-11-10 12:00:00+00:00,0,SMALL,OKAY,148.81618305053001,,West Midlands,,Shobnall
56,Tractor Unit,Curtain-Side 13.6M Trailer,LS24 9SD,BT26 6JJ,53.886427,-1.271051,54.474078,-6.104285,2023-11-10 12:30:00+00:00,2023-11-14 08:00:00+00:00,0,VERY SMALL,BAD,321.27233850978223,,,,
57,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,BT26 6JJ,52.800481,-1.663328,54.474078,-6.104285,2023-11-14 12:30:00+00:00,2023-11-16 08:00:00+00:00,1,VERY SMALL,BAD,346.9275683085368,,West Midlands,,Shobnall
58,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,NW10 7LQ,52.800481,-1.663328,51.526489,-0.266374,2023-11-10 12:30:00+00:00,2023-11-13 14:30:00+00:00,1,MEDIUM,BAD,170.7709621807883,London,West Midlands,"Ealing, unparished area",Shobnall
59,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,CF11 8TS,52.800481,-1.663328,51.459807,-3.195345,2023-11-13 11:30:00+00:00,2023-11-13 11:30:00+00:00,1,SMALL,BAD,182.1453279407551,,West Midlands,Grangetown,Shobnall
60,Tractor Unit,Curtain-Side 13.6M Trailer,DE12 8AA,OX14 4TE,52.690284,-1.548894,51.623911,-1.28,2023-11-14 09:00:00+00:00,2023-11-14 12:00:00+00:00,0,SMALL,OKAY,120.02314722928674,South East,East Midlands,Sutton Courtenay,Stretton en le Field
61,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,CF11 8TS,52.800481,-1.663328,51.459807,-3.195345,2023-11-14 08:00:00+00:00,2023-11-14 13:00:00+00:00,1,SMALL,BAD,182.1453279407551,,West Midlands,Grangetown,Shobnall
62,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,SN3 4FN,52.800481,-1.663328,51.595572,-1.740649,2023-11-13 22:30:00+00:00,2023-11-14 08:00:00+00:00,1,SMALL,BAD,134.12543579305833,South West,West Midlands,South Marston,Shobnall
63,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,DA11 9BU,52.800481,-1.663328,51.444403,0.343805,2023-11-15 08:00:00+00:00,2023-11-15 08:00:00+00:00,1,VERY SMALL,OKAY,203.79872550240273,South East,West Midlands,"Gravesham, unparished area",Shobnall
64,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,CF11 8TS,52.800481,-1.663328,51.459807,-3.195345,2023-11-15 20:00:00+00:00,2023-11-16 11:30:00+00:00,1,SMALL,BAD,182.1453279407551,,West Midlands,Grangetown,Shobnall
65,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 1PT,BT26 6JJ,52.811918,-1.630808,54.474078,-6.104285,2023-11-17 07:00:00+00:00,2023-11-17 08:00:00+00:00,0,VERY SMALL,BAD,348.02739004829306,,West Midlands,,Burton
66,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,ML4 1RJ,52.800481,-1.663328,55.818281,-4.021416,2023-11-15 07:30:00+00:00,2023-11-16 10:20:00+00:00,0,VERY SMALL,OKAY,368.85037308594656,,West Midlands,,Shobnall
67,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,CF3 2GJ,52.800481,-1.663328,51.50328,-3.109119,2023-11-17 08:00:00+00:00,2023-11-17 08:00:00+00:00,0,SMALL,BAD,174.79160924669884,,West Midlands,Trowbridge,Shobnall
68,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,CF11 8AQ,52.800481,-1.663328,51.466832,-3.200826,2023-11-16 10:00:00+00:00,2023-11-17 07:00:00+00:00,1,SMALL,BAD,181.71733240867704,,West Midlands,Grangetown,Shobnall
69,Tractor Unit,Curtain-Side 13.6M Trailer,LS24 9SD,BT26 6JJ,53.886427,-1.271051,54.474078,-6.104285,2023-11-16 12:30:00+00:00,2023-11-20 09:00:00+00:00,0,VERY SMALL,BAD,321.27233850978223,,,,
70,Tractor Unit,Curtain-Side 13.6M Trailer,DE12 8AA,NN15 5YT,52.690284,-1.548894,52.370504,-0.684925,2023-11-17 07:00:00+00:00,2023-11-17 09:20:00+00:00,0,SMALL,OKAY,68.43063350474523,East Midlands,East Midlands,Burton Latimer,Stretton en le Field
71,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,DA11 9BU,52.800481,-1.663328,51.444403,0.343805,2023-11-17 07:00:00+00:00,2023-11-17 08:00:00+00:00,1,VERY SMALL,OKAY,203.79872550240273,South East,West Midlands,"Gravesham, unparished area",Shobnall
72,Tractor Unit,Curtain-Side 13.6M Trailer,DE12 8AA,WA5 3XA,52.690284,-1.548894,53.407297,-2.661854,2023-11-17 12:00:00+00:00,2023-11-17 17:00:00+00:00,0,SMALL,BAD,109.07756258540866,North West,East Midlands,Great Sankey,Stretton en le Field
73,Tractor Unit,Curtain-Side 13.6M Trailer,DE12 8AA,WA5 3XA,52.690284,-1.548894,53.407297,-2.661854,2023-11-17 12:00:00+00:00,2023-11-17 17:00:00+00:00,1,SMALL,BAD,109.07756258540866,North West,East Midlands,Great Sankey,Stretton en le Field
74,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,WS2 8TF,52.800481,-1.663328,52.590331,-2.009684,2023-11-17 14:00:00+00:00,2023-11-17 14:00:00+00:00,0,VERY SMALL,GOOD,33.03821162679298,West Midlands,West Midlands,"Walsall, unparished area",Shobnall
75,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,CF31 3PH,52.800481,-1.663328,51.490776,-3.550666,2023-11-17 12:00:00+00:00,2023-11-20 07:00:00+00:00,1,SMALL,BAD,194.45437369607046,,West Midlands,Coychurch Lower,Shobnall
76,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,PL12 6LX,52.800481,-1.663328,50.417085,-4.234959,2023-11-17 15:00:00+00:00,2023-11-20 09:30:00+00:00,1,VERY SMALL,BAD,319.07202369792066,South West,West Midlands,Saltash,Shobnall
77,Tractor Unit,Curtain-Side 13.6M Trailer,LS24 9SD,BT26 6JJ,53.886427,-1.271051,54.474078,-6.104285,2023-11-21 07:00:00+00:00,2023-11-21 09:00:00+00:00,1,VERY SMALL,BAD,321.27233850978223,,,,
78,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,HP2 7GY,52.800481,-1.663328,51.760706,-0.425566,2023-11-20 07:00:00+00:00,2023-11-20 11:00:00+00:00,0,SMALL,OKAY,143.07032113907928,East of England,West Midlands,"Dacorum, unparished area",Shobnall
79,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,NN4 9BX,52.800481,-1.663328,52.219327,-0.954725,2023-11-20 18:00:00+00:00,2023-11-21 12:00:00+00:00,0,SMALL,OKAY,80.49575907694975,East Midlands,West Midlands,Upton,Shobnall
80,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 1PT,BT26 6JJ,52.811918,-1.630808,54.474078,-6.104285,2023-11-23 07:00:00+00:00,2023-11-23 08:00:00+00:00,1,VERY SMALL,BAD,348.02739004829306,,West Midlands,,Burton
81,Tractor Unit,Curtain-Side 13.6M Trailer,DE12 8AA,NE38 8NW,52.690284,-1.548894,54.88997,-1.501427,2023-11-22 15:00:00+00:00,2023-11-23 09:00:00+00:00,0,VERY SMALL,BAD,244.69056990578594,North East,East Midlands,"Sunderland, unparished area",Stretton en le Field
82,Tractor Unit,Curtain-Side 13.6M Trailer,DE12 8AA,NP16 6UD,52.690284,-1.548894,51.614678,-2.674519,2023-11-22 13:00:00+00:00,2023-11-23 09:00:00+00:00,1,SMALL,BAD,142.17504834249414,,East Midlands,,Stretton en le Field
83,Tractor Unit,Curtain-Side 13.6M Trailer,DE12 8AA,TA6 4FG,52.690284,-1.548894,51.155543,-2.983834,2023-11-23 14:30:00+00:00,2023-11-24 07:00:00+00:00,1,SMALL,BAD,197.04575071786778,South West,East Midlands,Bridgwater Without,Stretton en le Field
84,Tractor Unit,Curtain-Side 13.6M Trailer,DE12 8AA,DA2 6QA,52.690284,-1.548894,51.452153,0.265912,2023-11-24 17:00:00+00:00,2023-11-27 08:00:00+00:00,1,VERY SMALL,OKAY,185.35770092532263,South East,East Midlands,Stone,Stretton en le Field
85,Tractor Unit,Curtain-Side 13.6M Trailer,DE12 8AA,DA2 6QA,52.690284,-1.548894,51.452153,0.265912,2023-11-24 17:00:00+00:00,2023-11-27 09:00:00+00:00,1,VERY SMALL,OKAY,185.35770092532263,South East,East Midlands,Stone,Stretton en le Field
86,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,N9 0BD,52.800481,-1.663328,51.620719,-0.037422,2023-11-24 13:53:00+00:00,2023-11-27 08:00:00+00:00,0,MEDIUM,BAD,171.74778020563238,London,West Midlands,"Enfield, unparished area",Shobnall
87,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,SA6 8PJ,52.800481,-1.663328,51.665609,-3.912027,2023-11-27 07:00:00+00:00,2023-11-27 08:00:00+00:00,1,SMALL,BAD,198.48031426420997,,West Midlands,Llansamlet,Shobnall
88,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,CF3 2GJ,52.800481,-1.663328,51.50328,-3.109119,2023-11-28 13:00:00+00:00,2023-11-29 06:05:00+00:00,0,MEDIUM,BAD,174.79160924669884,,West Midlands,Trowbridge,Shobnall
89,Tractor Unit,Curtain-Side 13.6M Trailer,DE12 8AA,NP16 6UD,52.690284,-1.548894,51.614678,-2.674519,2023-11-30 10:00:00+00:00,2023-11-30 16:00:00+00:00,0,VERY SMALL,BAD,142.17504834249414,,East Midlands,,Stretton en le Field
90,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 1PT,BT26 6JJ,52.811918,-1.630808,54.474078,-6.104285,2023-12-01 07:00:00+00:00,2023-12-01 08:00:00+00:00,1,VERY SMALL,BAD,348.02739004829306,,West Midlands,,Burton
91,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,SA6 8PJ,52.800481,-1.663328,51.665609,-3.912027,2023-11-30 08:00:00+00:00,2023-11-30 09:00:00+00:00,0,SMALL,BAD,198.48031426420997,,West Midlands,Llansamlet,Shobnall
92,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,DA11 9BU,52.800481,-1.663328,51.444403,0.343805,2023-12-01 07:00:00+00:00,2023-12-01 08:00:00+00:00,1,VERY SMALL,OKAY,203.79872550240273,South East,West Midlands,"Gravesham, unparished area",Shobnall
93,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,CF3 2GJ,52.800481,-1.663328,51.50328,-3.109119,2023-12-04 09:00:00+00:00,2023-12-04 09:00:00+00:00,1,SMALL,BAD,174.79160924669884,,West Midlands,Trowbridge,Shobnall
94,Tractor Unit,Curtain-Side 13.6M Trailer,DE14 2WT,DA2 6QA,52.800481,-1.663328,51.452153,0.265912,2023-12-04 06:00:00+00:00,2023-12-04 06:00:00+00:00,0,SMALL,OKAY,199.60513060422363,South East,West Midlands,Stone,Shobnall
