,VEHICLE_SIZE,VEHICLE_BUILD_UP,FIRST_COLLECTION_POST_CODE,LAST_DELIVERY_POST_CODE,FIRST_COLLECTION_LATITUDE,FIRST_COLLECTION_LONGITUDE,LAST_DELIVERY_LATITUDE,LAST_DELIVERY_LONGITUDE,FIRST_COLLECTION_SCHEDULE_LATEST_lcl,LAST_DELIVERY_SCHEDULE_LATEST_lcl,CARRIER_SIZE,CARRIER_EFFICIENCY,distance,region_delivery,region_collection,parish_delivery,parish_collection
87,Tractor Unit,Curtain-Side 13.6M Trailer,M17 1RW,OX11 7HJ,53.47243,-2.332477,51.619116,-1.256855,2024-01-12 06:30:00+00:00,2024-01-12 12:00:00+00:00,UNKNOWN_1,UNKNOWN_2,218.59997696714436,South East,North West,Sutton Courtenay,"Trafford, unparished area"
88,Tractor Unit,Box 44ft,BD5 8LZ,EN3 7QP,53.764125,-1.740145,51.659325,-0.021793,2024-01-11 05:00:00+00:00,2024-01-11 12:43:00+00:00,SMALL,OKAY,261.1676762379297,,Yorkshire and The Humber,,"Bradford, unparished area"
89,Tractor Unit,Curtain-Side 13.6M Trailer,L33 3AN,CV23 8BQ,53.470807,-2.849187,52.356984,-1.173373,2024-01-16 14:00:00+00:00,2024-01-17 13:00:00+00:00,UNKNOWN_1,UNKNOWN_2,167.2722829326195,East Midlands,North West,Kilsby,"Knowsley, unparished area"
90,Tractor Unit,Box 44ft,BD5 8LZ,ME13 7TW,53.764125,-1.740145,51.328048,0.877608,2024-01-14 17:00:00+00:00,2024-01-15 08:56:00+00:00,SMALL,GOOD,323.639756153718,South East,Yorkshire and The Humber,Faversham,"Bradford, unparished area"
91,Tractor Unit,Curtain-Side 13.6M Trailer,SK16 4UG,LE19 1WY,53.467889,-2.096702,52.601576,-1.18816,2024-01-18 10:30:00+00:00,2024-01-18 17:00:00+00:00,SMALL,OKAY,113.91909259605275,East Midlands,North West,Braunstone,"Tameside, unparished area"
92,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3FY,OX16 2AA,53.293393,-1.074008,52.081463,-1.329055,2024-01-12 20:59:00+00:00,2024-01-15 10:55:00+00:00,UNKNOWN_1,UNKNOWN_2,135.89490831785923,South East,East Midlands,Banbury,
93,Tractor Unit,Curtain-Side 13.6M Trailer,DN8 5TE,HP22 5EZ,53.566639,-0.919839,51.818102,-0.739456,2024-01-12 18:00:00+00:00,2024-01-15 09:00:00+00:00,VERY SMALL,BAD,194.8691052260839,South East,Yorkshire and The Humber,Aston Clinton,Hatfield
94,Tractor Unit,Curtain-Side 13.6M Trailer,S9 1TZ,CW10 9JQ,53.397681,-1.401805,53.215501,-2.505481,2024-01-19 17:00:00+00:00,2024-01-19 17:00:00+00:00,VERY SMALL,VERY BAD,76.10072029091954,North West,Yorkshire and The Humber,Bostock,"Sheffield, unparished area"
95,3.5T Van,LWB Van,SL3 0BB,E1W 2DA,51.470809,-0.514738,51.508022,-0.05711,2024-01-17 06:45:00+00:00,2024-01-17 09:15:00+00:00,SMALL,GOOD,31.963613013455063,London,South East,"Tower Hamlets, unparished area",Colnbrook with Poyle
96,3.5T Van,Box,S35 2PW,LS27 0FU,53.476537,-1.471065,53.734398,-1.604189,2024-01-11 03:45:00+00:00,2024-01-11 05:30:00+00:00,BIG,GOOD,29.997294094020972,Yorkshire and The Humber,Yorkshire and The Humber,Morley,Ecclesfield
97,Tractor Unit,Box 44ft,BD5 8LZ,HP2 7PZ,53.764125,-1.740145,51.771841,-0.439918,2024-01-19 03:00:00+00:00,2024-01-19 10:46:00+00:00,SMALL,OKAY,238.24175994489434,East of England,Yorkshire and The Humber,"Dacorum, unparished area","Bradford, unparished area"
98,Tractor Unit,Curtain-Side 13.6M Trailer,S80 3EG,ML1 5GH,53.295391,-1.066283,55.831305,-3.937277,2024-01-14 11:56:00+00:00,2024-01-15 07:17:00+00:00,VERY SMALL,GOOD,337.34501790322906,,East Midlands,,
